season,transfer_window,player_name,league_moving_from,club_moving_from,league_moving_to,clusb_moving_to,fee,date
2010-2011,Summer,George Friend ,Premier,Wolverhampton Wanderers,Championship,Doncaster Rovers,Free,01/07/10
2010-2011,Summer,Tomasz Cywka,Premier,Wigan Athletic,Championship,Derby County,Free,01/07/10
2010-2011,Summer,Jamie Chandler,Premier,Sunderland,NoneEPLChamp,Darlington,Free,01/07/10
2010-2011,Summer,Roy O'Donovan,Premier,Sunderland,Championship,Coventry City,Free,01/07/10
2010-2011,Summer,Gary McSheffrey,NoneEPLChamp,Birmingham,Championship,Coventry City,Free,01/07/10
2010-2011,Summer,Stephen O'Halloran,Premier,Aston Villa,Championship,Coventry City,Free,01/07/10
2010-2011,Summer,Tom Heaton,Premier,Manchester United,Championship,Cardiff City,Free,01/07/10
2010-2011,Summer,Robbie Threlfall ,Premier,Liverpool,NoneEPLChamp,Bradford City,Free,01/07/10
2010-2011,Summer,Martin Petrov,Premier,Manchester City,Premier,Bolton Wanderers,Free,01/07/10
2010-2011,Summer,Robbie Blake,Championship,Burnley,Premier,Bolton Wanderers,Free,01/07/10
2010-2011,Summer,Enric Valles,NoneEPLChamp,NAC Breda,NoneEPLChamp,Birmingham,Free,01/07/10
2010-2011,Summer,Sam Cox,Premier,Tottenham Hotspur,NoneEPLChamp,Barnet,Free,01/07/10
2010-2011,Summer,Fran Meirda,Premier,Arsenal,NoneEPLChamp,Atletico Madrid,Free,01/07/10
2010-2011,Summer,Marouane Chamakh,NoneEPLChamp,Bordeaux,Premier,Arsenal,Free,01/07/10
2010-2011,Summer,Michael Hall ,Premier,Blackburn Rovers,NoneEPLChamp,Accrington Stanley,Free,01/07/10
2010-2011,Summer,Erik Nevland ,Premier,Fulham,NoneEPLChamp,Viking,Free ,01/07/10
2010-2011,Summer,Elliot Omozusi ,Premier,Fulham,NoneEPLChamp,Leyton Orient,Free      ,01/07/10
2010-2011,Summer,Stefan Payne ,Premier,Fulham,NoneEPLChamp,Gillingham,Free      ,01/07/10
2010-2011,Summer,Wayne Brown ,Premier,Fulham,NoneEPLChamp,Bristol Rovers,Free      ,01/07/10
2010-2011,Summer,Andy Griffin,Premier,Stoke City,Championship,Reading,Nominal,01/07/10
2010-2011,Summer,Michael Ballack,Premier,Chelsea,NoneEPLChamp,Bayer Leverkusen,Free,01/07/10
2010-2011,Summer,Guillermo Franco,NoneEPLChamp,West Ham,NoneEPLChamp,,Released,01/07/10
2010-2011,Summer,Amdy Faye ,Premier,Stoke City,NoneEPLChamp,,Released,01/07/10
2010-2011,Summer,Andrew Mitchell ,Premier,Manchester City,NoneEPLChamp,,Released,01/07/10
2010-2011,Summer,Benjani Mwaruwari ,Premier,Manchester City,NoneEPLChamp,,Released,01/07/10
2010-2011,Summer,Sylvinho ,Premier,Manchester City,NoneEPLChamp,,Released,01/07/10
2010-2011,Summer,Christopher Oldfield ,Premier,Liverpool,NoneEPLChamp,,Released,01/07/10
2010-2011,Summer,Juliano Belletti ,Premier,Chelsea,NoneEPLChamp,,Released,01/07/10
2010-2011,Summer,Joe Cole ,Premier,Chelsea,NoneEPLChamp,,Released,01/07/10
2010-2011,Summer,Franck Queudrue ,NoneEPLChamp,Birmingham,NoneEPLChamp, ,Released,01/07/10
2010-2011,Summer,Teemu Tainio ,NoneEPLChamp,Birmingham,NoneEPLChamp, ,Released,01/07/10
2010-2011,Summer,Gregory Vignal ,NoneEPLChamp,Birmingham,NoneEPLChamp, ,Released,01/07/10
2010-2011,Summer,Jared Wilson ,NoneEPLChamp,Birmingham,NoneEPLChamp, ,Released,01/07/10
2010-2011,Summer,Wilfred Bouma,Premier,Aston Villa,NoneEPLChamp, ,Released,01/07/10
2010-2011,Summer,Marlon Harewood,Premier,Aston Villa,NoneEPLChamp, ,Released,01/07/10
